Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os,storage_type,Second_Price,Inches,ScreenResolution,Cpu,Gpu,Memory,storage_capacity,log_price,GHz
Dell,Notebook,4,2.3,209.67,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Windows,hdd,22305.139199999998,15.6,1366x768,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,1TB HDD,1000,5.345534866157148,2
Dell,Notebook,8,2.2,400.67,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows,ssd,42624,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,AMD Radeon 530,256GB SSD,256,5.993138145859991,1.6
Dell,Ultrabook,8,1.88,650.08,0,0,141.21199808219862,Intel Core i7,0,512,Intel,Windows,ssd,69157.44,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,Intel UHD Graphics 620,256GB SSD +  256GB SSD,512,6.477095432239417,1.9
HP,Notebook,8,2.5,448.75,0,0,127.33567457123112,Intel Core i5,1000,0,Nvidia,Windows,hdd,47738.88,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 930MX,1TB HDD,1000,6.106465939802488,1.6
HP,Notebook,4,2.71,219.87,0,0,127.33567457123112,AMD Processor,500,0,AMD,Windows,hdd,23389.92,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,AMD Radeon 530,500GB HDD,500,5.393036462605869,2.5
Dell,Ultrabook,16,1.2,936.06,1,0,276.053530085501,Intel Core i7,0,512,Intel,Windows,ssd,99580.31999999999,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,512GB SSD,512,6.841679576987213,1.8
Acer,Notebook,4,2.1,183.81,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Others,hdd,19553.76,15.6,1366x768,Intel Core i3 7130U 2.7GHz,Intel HD Graphics 620,1TB HDD,1000,5.213902615405673,2.7
Dell,Notebook,8,2.8,490.31,0,1,127.33567457123112,Intel Core i5,1000,128,AMD,Windows,both,52161.119999999995,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,AMD Radeon 530,128GB SSD +  1TB HDD,1128,6.1950378441253156,1.6
HP,Notebook,4,1.86,244.75,0,0,100.45466986113652,Intel Core i5,1000,0,Intel,Windows,hdd,26037.403199999997,15.6,1366x768,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD,1000,5.5002372814106195,2.5
HP,Notebook,8,2.1,440.23,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows,ssd,46833.119999999995,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 930MX ,256GB SSD,256,6.087297317610726,1.6
Asus,Notebook,4,2,194.82,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Others,hdd,20725.92,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,Intel HD Graphics 620,1TB HDD,1000,5.27207605534281,2
Dell,Gaming,16,2.65,750.75,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows,both,79866.72,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,256GB SSD +  1TB HDD,1256,6.62107270686344,2.8
Asus,Notebook,8,2.3,261.93,0,0,100.45466986113652,Intel Core i5,1000,0,Nvidia,Others,hdd,27864.9072,15.6,1366x768,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,1TB HDD,1000,5.568077292490826,2.5
Acer,Notebook,4,2.2,341.57,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows,ssd,36336.96,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD,256,5.833552636043785,1.6
Dell,2 in 1 Convertible,12,2.77,500.33,1,0,127.33567457123112,Intel Core i5,1000,0,Nvidia,Windows,hdd,53226.72,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 150MX,1TB HDD,1000,6.215267880717977,1.6
Apple,Ultrabook,8,1.37,710.68,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac,ssd,75604.31999999999,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,Intel Iris Graphics 540,256GB SSD,256,6.566222258167705,2
Lenovo,Notebook,4,2.2,184.81,0,0,100.45466986113652,Intel Core i3,0,128,Intel,Others,ssd,19660.32,15.6,1366x768,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,128GB SSD,128,5.219328270297665,2
Asus,Gaming,8,3.2,650.58,0,0,127.33567457123112,AMD Processor,1000,256,AMD,Windows,both,69210.72,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,AMD Radeon RX 580,256GB SSD +  1TB HDD,1256,6.477864272712146,3
Dell,Notebook,4,2.3,320.03,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows,ssd,34045.92,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,AMD Radeon R5 M430,256GB SSD,256,5.768414741399516,2.5
Asus,Notebook,4,2.8,233.39,0,0,90.58340172449304,Other Intel Processor,1000,0,Nvidia,Windows,hdd,24828.48,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,Nvidia GeForce 920MX,1TB HDD,1000,5.45271087403313,1.1
Acer,Notebook,8,2.2,421.2,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows,ssd,44808.479999999996,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,256GB SSD,256,6.04310778025982,1.8
HP,Notebook,4,1.86,199.58,0,0,141.21199808219862,AMD Processor,0,256,AMD,Windows,ssd,21231.5472,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,AMD Radeon R4 Graphics,256GB SSD,256,5.2962151584561665,2.5
HP,Notebook,8,1.49,552.42,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows,ssd,58767.84,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,512GB SSD,512,6.31430862652781,1.8
Acer,Notebook,4,2.4,192.32,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Windows,hdd,20459.52,15.6,1366x768,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,1TB HDD,1000,5.259160651346843,2.4
Dell,Notebook,8,2.13,384.54,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows,ssd,40908.384,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,AMD Radeon 520,256GB SSD,256,5.952047814744191,1.8
HP,Notebook,4,1.91,219.87,0,0,141.21199808219862,Intel Core i3,0,128,Intel,Windows,ssd,23389.92,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,128GB SSD,128,5.393036462605869,2
Asus,Notebook,4,2,293.58,0,0,100.45466986113652,Intel Core i5,0,256,Intel,Windows,ssd,31232.203200000004,15.6,1366x768,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD,256,5.682150174529087,2.5
MSI,Gaming,16,2.43,1226.54,0,0,127.33567457123112,Intel Core i7,2000,256,Nvidia,Windows,both,130482.72,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,256GB SSD +  2TB HDD,2256,7.111952476293531,2.8
Asus,Notebook,4,2,207.85,0,0,141.21199808219862,Intel Core i3,0,256,Intel,Others,ssd,22111.2,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,256GB SSD,256,5.336816665698646,2
Dell,Notebook,16,2.8,650.58,0,0,127.33567457123112,Intel Core i7,2000,256,AMD,Windows,both,69210.72,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,256GB SSD +  2TB HDD,2256,6.477864272712146,1.8
Dell,Ultrabook,8,1.7,440.23,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows,ssd,46833.119999999995,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD,256,6.087297317610726,1.6
Lenovo,Notebook,8,1.7,300,0,1,157.3505121487356,Intel Core i3,0,256,Intel,Others,ssd,31914.719999999998,14,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,Intel HD Graphics 620,256GB SSD,256,5.703782474656201,2.7
Asus,Notebook,8,1.4,471.28,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows,ssd,50136.479999999996,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD,256,6.155452397213431,1.6
HP,Notebook,8,1.86,345.57,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows,ssd,36763.2,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD,256,5.845195227606525,2.5
Asus,Ultrabook,16,1.8,993.15,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows,ssd,105654.23999999999,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,512GB SSD,512,6.9008817100389646,2.8
HP,Notebook,4,1.86,219.71,0,0,100.45466986113652,Intel Core i3,500,0,AMD,Windows,hdd,23373.4032,15.6,1366x768,Intel Core i3 6006U 2GHz,AMD Radeon 520,500GB HDD,500,5.392308494968279,2
HP,Notebook,4,1.44,114.69,0,0,111.93520355955212,Other Intel Processor,0,32,Intel,Windows,ssd,12201.119999999999,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,32GB SSD,32,4.742232836376431,1.6
Lenovo,Notebook,4,1.9,274.96,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows,hdd,29250.719999999998,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD,1000,5.616625632541578,2.5
Asus,Gaming,12,3,475.29,0,0,127.33567457123112,Intel Core i7,1000,0,Nvidia,Others,hdd,50562.72,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,1TB HDD,1000,6.163925144055061,2.8
Microsoft,Ultrabook,4,1.252,545.41,1,0,200.84255993695703,Intel Core i5,0,128,Intel,Windows,ssd,58021.92,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,128GB SSD,128,6.301537805410251,2.5
Dell,Ultrabook,8,1.4,478.29,0,1,165.6321180513006,Intel Core i7,0,256,AMD,Windows,ssd,50882.4,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,256GB SSD,256,6.170217243087384,1.8
Dell,Notebook,8,2.2,435.72,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows,ssd,46353.6,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,256GB SSD,256,6.076999835214245,1.8
MSI,Gaming,8,2.7,548.41,0,0,127.33567457123112,Intel Core i5,1000,128,Nvidia,Windows,both,58341.6,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD,1128,6.307023182386968,2.5
Acer,Notebook,8,2.1,194.82,0,0,111.93520355955212,Intel Core i3,1000,0,Intel,Windows,hdd,20725.92,14,1366x768,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,1TB HDD,1000,5.27207605534281,2
Asus,Gaming,8,2.2,475.29,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows,hdd,50562.72,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,1TB HDD,1000,6.163925144055061,2.8
Lenovo,Notebook,8,2.2,259.93,0,0,141.21199808219862,Intel Core i5,2000,0,Intel,Others,hdd,27652.32,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,2TB HDD,2000,5.560412363997187,2.5
Dell,Notebook,8,2.02,428.21,0,0,141.21199808219862,Intel Core i7,1000,128,Intel,Windows,both,45554.4,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,128GB SSD +  1TB HDD,1128,6.059613729455989,1.8
Acer,Notebook,4,2.2,265.44,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Windows,hdd,28238.399999999998,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,Nvidia GeForce MX130,1TB HDD,1000,5.581388826442135,2.7
HP,Notebook,8,2.5,489.31,0,0,127.33567457123112,Intel Core i5,1000,128,Nvidia,Windows,both,52054.56,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 930MX,128GB SSD +  1TB HDD,1128,6.192996235445731,1.6
Dell,Ultrabook,8,1.88,548.99,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows,ssd,58403.404800000004,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD,256,6.308080226407389,1.6
Apple,Ultrabook,8,0.92,756.26,0,1,226.41554716935852,Intel Core i5,0,512,Intel,Mac,ssd,80452.8,12,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,Intel HD Graphics 615,512GB SSD,512,6.628385232398122,1.3
HP,Notebook,8,1.63,430.72,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows,ssd,45820.799999999996,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel HD Graphics 620,256GB SSD,256,6.065458227016308,1.6
Lenovo,Notebook,4,2.2,199.83,0,0,141.21199808219862,AMD Processor,0,128,AMD,Windows,ssd,21258.719999999998,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,AMD R4 Graphics,128GB SSD,128,5.297467005093198,2.5
Acer,Notebook,4,2.1,197.83,0,0,100.45466986113652,AMD Processor,1000,0,AMD,Windows,hdd,21045.6,15.6,1366x768,AMD A9-Series 9420 3GHz,AMD Radeon R5,1TB HDD,1000,5.287408076040001,3
Dell,Gaming,16,2.65,675.62,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows,both,71874.72,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,128GB SSD +  1TB HDD,1128,6.515630787811046,2.8
HP,Ultrabook,8,1.83,350.08,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows,ssd,37242.72,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Nvidia GeForce GTX 940MX,256GB SSD,256,5.858161699793562,1.8
HP,Notebook,8,1.96,299.99,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows,ssd,31914.1872,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD,256,5.7037491407673,2.5
Asus,Gaming,16,2.2,725.71,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows,both,77202.72,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,128GB SSD +  1TB HDD,1128,6.587150485987966,2.8
Dell,Ultrabook,8,1.21,825.87,0,1,165.6321180513006,Intel Core i7,0,256,Intel,Windows,ssd,87858.72,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,256GB SSD,256,6.716437376146768,1.8
Asus,Gaming,8,2.45,350.08,0,0,141.21199808219862,AMD Processor,1000,0,AMD,Windows,hdd,37242.72,15.6,Full HD 1920x1080,AMD FX 9830P 3GHz,AMD Radeon RX 560,1TB HDD,1000,5.858161699793562,3
Acer,Notebook,8,2.2,345.07,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows,hdd,36709.92,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,1TB HDD,1000,5.8437472950009575,1.8
HP,Notebook,16,1.49,599.5,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows,ssd,63776.159999999996,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,512GB SSD,512,6.396095974467569,1.8
Dell,Gaming,8,2.65,598.49,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows,ssd,63669.6,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1060,256GB SSD,256,6.394409816420679,2.5
Asus,Ultrabook,8,1.25,525.37,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows,ssd,55890.72,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD,256,6.264102776268335,2.7
Acer,2 in 1 Convertible,8,1.5,424.2,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows,ssd,45128.159999999996,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD,256,6.050205042130582,1.6
Dell,Notebook,8,2.2,300.45,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,Others,hdd,31962.672,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,AMD Radeon R5 M430,1TB HDD,1000,5.705281350779937,2.7
Dell,Notebook,4,2.2,242.9,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Others,ssd,25840.8,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,AMD Radeon R5 M430,256GB SSD,256,5.492649836008127,2
Asus,Notebook,6,2,288.98,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,Windows,ssd,30742.559999999998,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,Nvidia GeForce 920M,256GB SSD,256,5.666357481565465,2.4
HP,Gaming,12,2.62,625.54,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows,both,66546.72,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD,1128,6.438615276703253,2.8
HP,Notebook,8,1.91,360.1,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows,ssd,38308.32,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,AMD Radeon 530,256GB SSD,256,5.88638177065483,2.7
HP,Notebook,4,2.1,174.79,0,0,141.21199808219862,AMD Processor,500,0,AMD,Windows,hdd,18594.719999999998,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,AMD Radeon R2,500GB HDD,500,5.163585253346995,1.5
Dell,Notebook,8,2.2,324.04,0,0,141.21199808219862,Intel Core i5,1000,0,AMD,Others,hdd,34472.159999999996,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,AMD Radeon 520,1TB HDD,1000,5.78086696496229,1.6
HP,Ultrabook,8,1.38,560.43,0,1,165.6321180513006,Intel Core i7,0,256,Nvidia,Windows,ssd,59620.32,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Nvidia GeForce MX150,256GB SSD,256,6.32870434622058,2.7
Microsoft,Ultrabook,8,1.252,671.11,1,0,200.84255993695703,Intel Core i5,0,256,Intel,Windows,ssd,71395.2,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD,256,6.508933057962132,2.5
HP,Notebook,6,1.58,330.05,0,1,157.3505121487356,Intel Core i5,0,256,Nvidia,Windows,ssd,35111.52,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,256GB SSD,256,5.79924415813478,2.5
Lenovo,Notebook,4,1.85,207.8,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Windows,hdd,22105.872,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,1TB HDD,1000,5.336576078665127,2
Asus,Ultrabook,8,1.3,597.49,0,1,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows,ssd,63563.04,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,256GB SSD,256,6.392737547263937,2.7
MSI,Gaming,16,2.2,650.58,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows,both,69210.72,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,256GB SSD +  1TB HDD,1256,6.477864272712146,2.8
Lenovo,Notebook,8,1.58,741.23,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows,ssd,78854.4,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD,256,6.608310968497676,2.7
Asus,Ultrabook,16,1.5,632.05,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows,both,67239.36,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,256GB SSD +  1TB HDD,1256,6.448968504941567,1.8
Dell,Ultrabook,8,1.23,690.65,1,0,276.053530085501,Intel Core i7,0,256,Intel,Windows,ssd,73473.12,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,Intel Iris Plus Graphics 640,256GB SSD,256,6.537633183145969,2.4
Lenovo,2 in 1 Convertible,8,1.37,700.66,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows,ssd,74538.72,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD,256,6.552022747975662,2.5
HP,Notebook,4,1.63,361.6,0,1,111.93520355955212,Intel Core i5,500,0,Intel,Windows,hdd,38468.159999999996,14,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,500GB HDD,500,5.890538628518022,1.6
